,,,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,IP,NP,NR,P,S,U
Physics 227,A,% of Total Number of Records along Grade Code Final,,42%,,,,,,,,,,,,,,,,,,
,,Number of Records,,8,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,11%,,,,,,,,,,,,,,,,,
,,Number of Records,,,2,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,42%,,,,,,,,,,,,,,,,,,,
,,Number of Records,8,,,,,,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,5%,,,,,,,,,,,,,,,,
,,Number of Records,,,,1,,,,,,,,,,,,,,,,
Physics 230,A,% of Total Number of Records along Grade Code Final,,61%,,,,,,,,,,,,,,,,,,
,,Number of Records,,14,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,26%,,,,,,,,,,,,,,,,,
,,Number of Records,,,6,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,9%,,,,,,,,,,,,,,,,,,,
,,Number of Records,2,,,,,,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,4%,,,,,,,,,,,,,,,,
,,Number of Records,,,,1,,,,,,,,,,,,,,,,
Physics 231,A,% of Total Number of Records along Grade Code Final,,25%,,,,,,,,,,,,,,,,,,
,,Number of Records,,4,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,19%,,,,,,,,,,,,,,,,,
,,Number of Records,,,3,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,19%,,,,,,,,,,,,,,,,,,,
,,Number of Records,3,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,19%,,,,,,,,,,,,,,,
,,Number of Records,,,,,3,,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,13%,,,,,,,,,,,,,,,,
,,Number of Records,,,,2,,,,,,,,,,,,,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,6%,,,,,,
,,Number of Records,,,,,,,,,,,,,,1,,,,,,
Physics 234,A+,% of Total Number of Records along Grade Code Final,100%,,,,,,,,,,,,,,,,,,,
,,Number of Records,1,,,,,,,,,,,,,,,,,,,
Physics 237,A,% of Total Number of Records along Grade Code Final,,26%,,,,,,,,,,,,,,,,,,
,,Number of Records,,37,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,16%,,,,,,,,,,,,,,,,,
,,Number of Records,,,23,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,17%,,,,,,,,,,,,,,,,,,,
,,Number of Records,25,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,17%,,,,,,,,,,,,,,,
,,Number of Records,,,,,24,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,3%,,,,,,,,,,,,,,
,,Number of Records,,,,,,4,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,16%,,,,,,,,,,,,,,,,
,,Number of Records,,,,23,,,,,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,1%,,,,,,,,,,,
,,Number of Records,,,,,,,,,1,,,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,1%,,,,,,,,
,,Number of Records,,,,,,,,,,,,1,,,,,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,4%,,,,,,
,,Number of Records,,,,,,,,,,,,,,6,,,,,,
Physics 238,A,% of Total Number of Records along Grade Code Final,,75%,,,,,,,,,,,,,,,,,,
,,Number of Records,,9,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,8%,,,,,,,,,,,,,,,,,
,,Number of Records,,,1,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,17%,,,,,,,,,,,,,,,,,,,
,,Number of Records,2,,,,,,,,,,,,,,,,,,,
Physics 239,A-,% of Total Number of Records along Grade Code Final,,,14%,,,,,,,,,,,,,,,,,
,,Number of Records,,,1,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,57%,,,,,,,,,,,,,,,,,,,
,,Number of Records,4,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,14%,,,,,,,,,,,,,,,
,,Number of Records,,,,,1,,,,,,,,,,,,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,14%,,,,,,
,,Number of Records,,,,,,,,,,,,,,1,,,,,,
Physics 241,A,% of Total Number of Records along Grade Code Final,,32%,,,,,,,,,,,,,,,,,,
,,Number of Records,,23,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,17%,,,,,,,,,,,,,,,,,
,,Number of Records,,,12,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,6%,,,,,,,,,,,,,,,,,,,
,,Number of Records,4,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,15%,,,,,,,,,,,,,,,
,,Number of Records,,,,,11,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,7%,,,,,,,,,,,,,,
,,Number of Records,,,,,,5,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,17%,,,,,,,,,,,,,,,,
,,Number of Records,,,,12,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,1%,,,,,,,,,,,,
,,Number of Records,,,,,,,,1,,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,1%,,,,,,,,,,,,,
,,Number of Records,,,,,,,1,,,,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,1%,,,,,,,
,,Number of Records,,,,,,,,,,,,,1,,,,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,3%,,,,,,
,,Number of Records,,,,,,,,,,,,,,2,,,,,,
Physics 242,A,% of Total Number of Records along Grade Code Final,,33%,,,,,,,,,,,,,,,,,,
,,Number of Records,,3,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,11%,,,,,,,,,,,,,,,,,
,,Number of Records,,,1,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,11%,,,,,,,,,,,,,,,
,,Number of Records,,,,,1,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,11%,,,,,,,,,,,,,,
,,Number of Records,,,,,,1,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,33%,,,,,,,,,,,,,,,,
,,Number of Records,,,,3,,,,,,,,,,,,,,,,
Physics 243,A,% of Total Number of Records along Grade Code Final,,100%,,,,,,,,,,,,,,,,,,
,,Number of Records,,11,,,,,,,,,,,,,,,,,,
Physics 244,A,% of Total Number of Records along Grade Code Final,,50%,,,,,,,,,,,,,,,,,,
,,Number of Records,,6,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,17%,,,,,,,,,,,,,,,,,
,,Number of Records,,,2,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,33%,,,,,,,,,,,,,,,,,,,
,,Number of Records,4,,,,,,,,,,,,,,,,,,,
Physics 248,A,% of Total Number of Records along Grade Code Final,,14%,,,,,,,,,,,,,,,,,,
,,Number of Records,,4,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,7%,,,,,,,,,,,,,,,,,
,,Number of Records,,,2,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,71%,,,,,,,,,,,,,,,,,,,
,,Number of Records,20,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,4%,,,,,,,,,,,,,,,
,,Number of Records,,,,,1,,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,4%,,,,,,,,,,,,,,,,
,,Number of Records,,,,1,,,,,,,,,,,,,,,,
Physics 249,A,% of Total Number of Records along Grade Code Final,,60%,,,,,,,,,,,,,,,,,,
,,Number of Records,,3,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,20%,,,,,,,,,,,,,,,,,
,,Number of Records,,,1,,,,,,,,,,,,,,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,20%,,,,,,
,,Number of Records,,,,,,,,,,,,,,1,,,,,,
Physics 251,S,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,,100%,
,,Number of Records,,,,,,,,,,,,,,,,,,,57,
Physics 270,A,% of Total Number of Records along Grade Code Final,,50%,,,,,,,,,,,,,,,,,,
,,Number of Records,,2,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,25%,,,,,,,,,,,,,,,
,,Number of Records,,,,,1,,,,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,25%,,,,,,,,,,,
,,Number of Records,,,,,,,,,1,,,,,,,,,,,
Physics 274,A,% of Total Number of Records along Grade Code Final,,57%,,,,,,,,,,,,,,,,,,
,,Number of Records,,4,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,14%,,,,,,,,,,,,,,,,,
,,Number of Records,,,1,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,29%,,,,,,,,,,,,,,,,,,,
,,Number of Records,2,,,,,,,,,,,,,,,,,,,
Physics 280,A,% of Total Number of Records along Grade Code Final,,56%,,,,,,,,,,,,,,,,,,
,,Number of Records,,9,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,13%,,,,,,,,,,,,,,,,,
,,Number of Records,,,2,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,13%,,,,,,,,,,,,,,,,,,,
,,Number of Records,2,,,,,,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,13%,,,,,,,,,,,,,,,,
,,Number of Records,,,,2,,,,,,,,,,,,,,,,
,S,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,,6%,
,,Number of Records,,,,,,,,,,,,,,,,,,,1,
Physics 281,A,% of Total Number of Records along Grade Code Final,,44%,,,,,,,,,,,,,,,,,,
,,Number of Records,,4,,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,11%,,,,,,,,,,,,,,,,,,,
,,Number of Records,1,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,33%,,,,,,,,,,,,,,,
,,Number of Records,,,,,3,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,11%,,,,,,,,,,,,,,
,,Number of Records,,,,,,1,,,,,,,,,,,,,,
Physics 285,A,% of Total Number of Records along Grade Code Final,,100%,,,,,,,,,,,,,,,,,,
,,Number of Records,,1,,,,,,,,,,,,,,,,,,
Physics 290,A,% of Total Number of Records along Grade Code Final,,83%,,,,,,,,,,,,,,,,,,
,,Number of Records,,10,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,8%,,,,,,,,,,,,,,,
,,Number of Records,,,,,1,,,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,8%,,,,,,,,,
,,Number of Records,,,,,,,,,,,1,,,,,,,,,
Physics 291,S,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,,100%,
,,Number of Records,,,,,,,,,,,,,,,,,,,9,
Physics 292,A,% of Total Number of Records along Grade Code Final,,47%,,,,,,,,,,,,,,,,,,
,,Number of Records,,36,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,17%,,,,,,,,,,,,,,,,,
,,Number of Records,,,13,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,12%,,,,,,,,,,,,,,,,,,,
,,Number of Records,9,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,8%,,,,,,,,,,,,,,,
,,Number of Records,,,,,6,,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,9%,,,,,,,,,,,,,,,,
,,Number of Records,,,,7,,,,,,,,,,,,,,,,
,S,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,,4%,
,,Number of Records,,,,,,,,,,,,,,,,,,,3,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,3%,,,,,,
,,Number of Records,,,,,,,,,,,,,,2,,,,,,
Physics 293,S,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,,98%,
,,Number of Records,,,,,,,,,,,,,,,,,,,546,
,U,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,,,2%
,,Number of Records,,,,,,,,,,,,,,,,,,,,13
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,0%,,,,,,
,,Number of Records,,,,,,,,,,,,,,1,,,,,,
Physics 295,S,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,,99%,
,,Number of Records,,,,,,,,,,,,,,,,,,,"1,315",
,U,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,,,1%
,,Number of Records,,,,,,,,,,,,,,,,,,,,8
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,0%,,,,,,
,,Number of Records,,,,,,,,,,,,,,3,,,,,,
Physics 298,S,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,,100%,
,,Number of Records,,,,,,,,,,,,,,,,,,,30,
Physics 299,S,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,,96%,
,,Number of Records,,,,,,,,,,,,,,,,,,,22,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,4%,,,,,,
,,Number of Records,,,,,,,,,,,,,,1,,,,,,
Political Science 001,A,% of Total Number of Records along Grade Code Final,,12%,,,,,,,,,,,,,,,,,,
,,Number of Records,,492,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,17%,,,,,,,,,,,,,,,,,
,,Number of Records,,,682,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,2%,,,,,,,,,,,,,,,,,,,
,,Number of Records,79,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,19%,,,,,,,,,,,,,,,
,,Number of Records,,,,,768,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,12%,,,,,,,,,,,,,,
,,Number of Records,,,,,,491,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,12%,,,,,,,,,,,,,,,,
,,Number of Records,,,,488,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,7%,,,,,,,,,,,,
,,Number of Records,,,,,,,,309,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,4%,,,,,,,,,,,
,,Number of Records,,,,,,,,,146,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,7%,,,,,,,,,,,,,
,,Number of Records,,,,,,,271,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,1%,,,,,,,,,
,,Number of Records,,,,,,,,,,,56,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,0%,,,,,,,,
,,Number of Records,,,,,,,,,,,,19,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,1%,,,,,,,,,,
,,Number of Records,,,,,,,,,,43,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,5%,,,,,,,
,,Number of Records,,,,,,,,,,,,,191,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,0%,,,,
,,Number of Records,,,,,,,,,,,,,,,,15,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,0%,,
,,Number of Records,,,,,,,,,,,,,,,,,,18,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
,,Number of Records,,,,,,,,,,,,,,59,,,,,,
Political Science 003,A,% of Total Number of Records along Grade Code Final,,15%,,,,,,,,,,,,,,,,,,
,,Number of Records,,253,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,13%,,,,,,,,,,,,,,,,,
,,Number of Records,,,214,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,4%,,,,,,,,,,,,,,,,,,,
,,Number of Records,70,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,16%,,,,,,,,,,,,,,,
,,Number of Records,,,,,260,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,11%,,,,,,,,,,,,,,
,,Number of Records,,,,,,186,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,10%,,,,,,,,,,,,,,,,
,,Number of Records,,,,170,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,9%,,,,,,,,,,,,
,,Number of Records,,,,,,,,144,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,4%,,,,,,,,,,,
,,Number of Records,,,,,,,,,61,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,8%,,,,,,,,,,,,,
,,Number of Records,,,,,,,131,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,2%,,,,,,,,,
,,Number of Records,,,,,,,,,,,38,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,1%,,,,,,,,
,,Number of Records,,,,,,,,,,,,16,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,2%,,,,,,,,,,
,,Number of Records,,,,,,,,,,27,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,3%,,,,,,,
,,Number of Records,,,,,,,,,,,,,58,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,0%,,,,
,,Number of Records,,,,,,,,,,,,,,,,4,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,1%,,
,,Number of Records,,,,,,,,,,,,,,,,,,9,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
,,Number of Records,,,,,,,,,,,,,,18,,,,,,
Political Science 005,A,% of Total Number of Records along Grade Code Final,,13%,,,,,,,,,,,,,,,,,,
,,Number of Records,,269,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,14%,,,,,,,,,,,,,,,,,
,,Number of Records,,,284,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,3%,,,,,,,,,,,,,,,,,,,
,,Number of Records,54,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,19%,,,,,,,,,,,,,,,
,,Number of Records,,,,,375,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,10%,,,,,,,,,,,,,,
,,Number of Records,,,,,,210,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,15%,,,,,,,,,,,,,,,,
,,Number of Records,,,,307,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,6%,,,,,,,,,,,,
,,Number of Records,,,,,,,,131,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,2%,,,,,,,,,,,
,,Number of Records,,,,,,,,,49,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,8%,,,,,,,,,,,,,
,,Number of Records,,,,,,,159,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,1%,,,,,,,,,
,,Number of Records,,,,,,,,,,,30,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,0%,,,,,,,,
,,Number of Records,,,,,,,,,,,,8,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,2%,,,,,,,,,,
,,Number of Records,,,,,,,,,,45,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,3%,,,,,,,
,,Number of Records,,,,,,,,,,,,,61,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,0%,,,,
,,Number of Records,,,,,,,,,,,,,,,,8,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,1%,,
,,Number of Records,,,,,,,,,,,,,,,,,,11,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
,,Number of Records,,,,,,,,,,,,,,20,,,,,,
Political Science 006,A,% of Total Number of Records along Grade Code Final,,17%,,,,,,,,,,,,,,,,,,
,,Number of Records,,28,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,20%,,,,,,,,,,,,,,,,,
,,Number of Records,,,32,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,1%,,,,,,,,,,,,,,,,,,,
,,Number of Records,2,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,23%,,,,,,,,,,,,,,,
,,Number of Records,,,,,37,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,8%,,,,,,,,,,,,,,
,,Number of Records,,,,,,13,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,11%,,,,,,,,,,,,,,,,
,,Number of Records,,,,18,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,4%,,,,,,,,,,,,
,,Number of Records,,,,,,,,6,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,1%,,,,,,,,,,,
,,Number of Records,,,,,,,,,1,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,6%,,,,,,,,,,,,,
,,Number of Records,,,,,,,10,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,1%,,,,,,,,,
,,Number of Records,,,,,,,,,,,1,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,1%,,,,,,,,
,,Number of Records,,,,,,,,,,,,1,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,1%,,,,,,,,,,
,,Number of Records,,,,,,,,,,2,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,4%,,,,,,,
,,Number of Records,,,,,,,,,,,,,7,,,,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
,,Number of Records,,,,,,,,,,,,,,4,,,,,,
Political Science 009,A,% of Total Number of Records along Grade Code Final,,15%,,,,,,,,,,,,,,,,,,
,,Number of Records,,9,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,11%,,,,,,,,,,,,,,,,,
,,Number of Records,,,7,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,3%,,,,,,,,,,,,,,,,,,,
,,Number of Records,2,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,11%,,,,,,,,,,,,,,,
,,Number of Records,,,,,7,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,15%,,,,,,,,,,,,,,
,,Number of Records,,,,,,9,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,13%,,,,,,,,,,,,,,,,
,,Number of Records,,,,8,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,7%,,,,,,,,,,,,
,,Number of Records,,,,,,,,4,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,8%,,,,,,,,,,,
,,Number of Records,,,,,,,,,5,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,7%,,,,,,,,,,,,,
,,Number of Records,,,,,,,4,,,,,,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,2%,,,,,,,,,,
,,Number of Records,,,,,,,,,,1,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,8%,,,,,,,
,,Number of Records,,,,,,,,,,,,,5,,,,,,,
Political Science 010,A,% of Total Number of Records along Grade Code Final,,16%,,,,,,,,,,,,,,,,,,
,,Number of Records,,319,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,11%,,,,,,,,,,,,,,,,,
,,Number of Records,,,220,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,4%,,,,,,,,,,,,,,,,,,,
,,Number of Records,72,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,15%,,,,,,,,,,,,,,,
,,Number of Records,,,,,305,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,10%,,,,,,,,,,,,,,
,,Number of Records,,,,,,206,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,10%,,,,,,,,,,,,,,,,
,,Number of Records,,,,204,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,8%,,,,,,,,,,,,
,,Number of Records,,,,,,,,169,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,6%,,,,,,,,,,,
,,Number of Records,,,,,,,,,112,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,7%,,,,,,,,,,,,,
,,Number of Records,,,,,,,149,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,4%,,,,,,,,,
,,Number of Records,,,,,,,,,,,82,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,1%,,,,,,,,
,,Number of Records,,,,,,,,,,,,13,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,1%,,,,,,,,,,
,,Number of Records,,,,,,,,,,18,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,4%,,,,,,,
,,Number of Records,,,,,,,,,,,,,86,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,0%,,,,
,,Number of Records,,,,,,,,,,,,,,,,9,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,1%,,
,,Number of Records,,,,,,,,,,,,,,,,,,26,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
,,Number of Records,,,,,,,,,,,,,,21,,,,,,
Political Science 095,A,% of Total Number of Records along Grade Code Final,,100%,,,,,,,,,,,,,,,,,,
,,Number of Records,,1,,,,,,,,,,,,,,,,,,
Political Science 100,A,% of Total Number of Records along Grade Code Final,,30%,,,,,,,,,,,,,,,,,,
,,Number of Records,,191,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,22%,,,,,,,,,,,,,,,,,
,,Number of Records,,,141,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,5%,,,,,,,,,,,,,,,,,,,
,,Number of Records,29,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,16%,,,,,,,,,,,,,,,
,,Number of Records,,,,,105,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,6%,,,,,,,,,,,,,,
